time_vao,time_dong,chieu,nguon,gia_vao,sl_goc,R_pip,mfe_pip,mae_pip,mfe_R,mae_R,cham10,phut10,phut_ve_entry_10,cham20,phut20,phut_ve_entry_20,cham30,phut30,phut_ve_entry_30,cham50,phut50,phut_ve_entry_50,cham80,phut80,phut_ve_entry_80,cham100,phut100,phut_ve_entry_100,cham150,phut150,phut_ve_entry_150,cham200,phut200,phut_ve_entry_200,cham300,phut300,phut_ve_entry_300,ket_cuc,lai_usd,phut_giu
2026.07.01 05:30,2026.07.01 06:07,BUY,LienKe,3970.718,3966.655,40.6,82.3,10.1,2.03,0.25,1,0,35,1,0,35,1,0,35,1,2,35,1,2,35,0,,,0,,,0,,,0,,,SL,-40.63,37
2026.07.01 05:20,2026.07.01 06:07,BUY,LienKe,3972.321,3966.655,56.7,66.3,26.1,1.17,0.46,1,0,1,1,3,10,1,12,20,1,12,20,0,,,0,,,0,,,0,,,0,,,SL,-56.66,47
2026.07.06 04:26,2026.07.06 05:02,BUY,LienKe,4161.562,4157.066,45.0,19.2,43.3,0.43,0.96,1,0,1,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,SL,-44.96,36
2026.07.06 04:25,2026.07.06 05:02,BUY,LienKe,4163.402,4157.066,63.4,0.8,61.7,0.01,0.97,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,SL,-63.36,37
2026.07.07 03:43,2026.07.07 05:14,BUY,Swing,4129.049,4122.558,64.9,122.7,64.0,1.89,0.99,1,14,61,1,14,61,1,19,61,1,20,61,1,25,61,1,26,61,0,,,0,,,0,,,SL,-64.91,91
2026.07.07 01:30,2026.07.07 05:14,BUY,Swing,4132.914,4122.558,103.6,134.4,102.7,1.30,0.99,1,0,81,1,0,81,1,0,81,1,1,81,1,14,81,1,15,81,0,,,0,,,0,,,SL,-103.56,224
2026.07.07 05:13,2026.07.07 05:39,BUY,LienKe,4124.730,4119.644,50.9,41.1,46.5,0.81,0.91,1,9,9,1,12,17,1,12,17,0,,,0,,,0,,,0,,,0,,,0,,,SL,-50.86,26
2026.07.07 05:05,2026.07.07 05:39,BUY,LienKe,4128.556,4119.644,89.1,26.7,84.7,0.30,0.95,1,0,2,1,0,2,0,,,0,,,0,,,0,,,0,,,0,,,0,,,SL,-89.12,34
2026.07.08 05:43,2026.07.08 08:17,SELL,LienKe,4131.178,4137.080,59.0,266.9,27.2,4.52,0.46,1,0,31,1,1,31,1,1,31,1,5,31,1,24,31,1,81,-,1,95,-,1,153,-,0,,,TP,300.00,154
2026.07.08 05:10,2026.07.08 08:17,SELL,LienKe,4128.392,4137.080,86.9,239.1,55.1,2.75,0.63,1,0,6,1,0,6,1,4,6,1,12,24,1,115,-,1,115,-,1,186,-,1,186,-,0,,,TP,300.00,187
2026.07.09 08:20,2026.07.09 08:21,SELL,LienKe,4110.976,4115.978,50.0,0.0,18.0,0.00,0.36,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,SL,-50.02,1
2026.07.09 08:20,2026.07.09 08:21,SELL,LienKe,4109.024,4115.978,69.5,0.0,37.6,0.00,0.54,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,SL,-69.54,1
2026.07.10 07:08,2026.07.10 07:47,BUY,LienKe,4109.915,4105.076,48.4,54.3,47.1,1.12,0.97,1,1,3,1,5,7,1,10,33,1,12,33,0,,,0,,,0,,,0,,,0,,,SL,-48.39,39
2026.07.10 05:50,2026.07.10 07:47,BUY,LienKe,4111.980,4105.076,69.0,82.4,67.8,1.19,0.98,1,0,50,1,2,50,1,5,50,1,9,50,1,29,50,0,,,0,,,0,,,0,,,SL,-69.04,117
2026.07.12 23:00,2026.07.13 00:34,BUY,Swing,4073.928,4066.754,71.7,172.1,55.3,2.40,0.77,1,29,30,1,39,89,1,39,89,1,40,89,1,50,89,1,57,89,1,65,89,0,,,0,,,SL,-71.74,94
2026.07.12 22:50,2026.07.13 00:34,BUY,Swing,4078.297,4066.754,115.4,128.4,99.0,1.11,0.86,1,1,3,1,1,3,1,60,95,1,62,95,1,70,95,1,75,95,0,,,0,,,0,,,SL,-115.43,104
2026.07.13 13:59,2026.07.13 14:00,BUY,LienKe,4046.563,4039.377,71.9,5.1,46.9,0.07,0.65,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,SL,-71.86,1
2026.07.13 13:59,2026.07.13 14:00,BUY,Swing,4046.563,4039.377,71.9,5.1,46.9,0.07,0.65,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,SL,-71.86,1
2026.07.13 13:55,2026.07.13 14:00,BUY,LienKe,4051.817,4039.377,124.4,12.3,99.4,0.10,0.80,1,1,2,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,SL,-124.40,5
2026.07.13 13:55,2026.07.13 14:00,BUY,Swing,4051.817,4039.377,124.4,12.3,99.4,0.10,0.80,1,1,2,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,SL,-124.40,5
2026.07.14 00:19,2026.07.14 02:15,BUY,LienKe,3988.961,3980.307,86.5,289.4,33.8,3.34,0.39,1,2,3,1,6,7,1,8,-,1,9,-,1,9,-,1,13,-,1,15,-,1,99,-,0,,,TP,300.00,116
2026.07.14 00:19,2026.07.14 02:15,BUY,Swing,3988.961,3980.307,86.5,289.4,33.8,3.34,0.39,1,2,3,1,6,7,1,8,-,1,9,-,1,9,-,1,13,-,1,15,-,1,99,-,0,,,TP,300.00,116
2026.07.14 00:10,2026.07.14 05:30,BUY,LienKe,3995.232,3980.307,149.3,288.3,96.5,1.93,0.65,1,0,2,1,0,2,1,0,2,1,23,51,1,24,51,1,24,51,1,108,-,1,121,-,0,,,TP,300.00,320
2026.07.14 00:10,2026.07.14 05:30,BUY,Swing,3995.232,3980.307,149.3,288.3,96.5,1.93,0.65,1,0,2,1,0,2,1,0,2,1,23,51,1,24,51,1,24,51,1,108,-,1,121,-,0,,,TP,300.00,320
2026.07.14 12:05,2026.07.14 12:30,SELL,LienKe,4029.984,4039.079,91.0,66.4,12.8,0.73,0.14,1,0,1,1,2,20,1,3,20,1,10,20,0,,,0,,,0,,,0,,,0,,,SL,-90.95,25
2026.07.14 12:05,2026.07.14 12:30,SELL,Swing,4029.984,4039.079,91.0,66.4,12.8,0.73,0.14,1,0,1,1,2,20,1,3,20,1,10,20,0,,,0,,,0,,,0,,,0,,,SL,-90.95,25
2026.07.14 12:30,2026.07.14 12:30,SELL,LienKe,4033.521,4039.079,55.6,0.0,566.2,0.00,10.19,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,SL,-55.58,0
2026.07.14 12:30,2026.07.14 12:30,SELL,Swing,4033.521,4039.079,55.6,0.0,566.2,0.00,10.19,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,SL,-55.58,0
2026.07.15 18:35,2026.07.16 01:02,SELL,LienKe,4072.779,4084.502,117.2,292.8,9.3,2.50,0.08,1,0,0,1,4,-,1,6,-,1,10,-,1,15,-,1,21,-,1,25,-,1,57,-,0,,,TP,300.00,387
