HTF_State;Maj_State;Min_State;Entry_Type;Risk_Multiplier;BE_Trigger_R;Partial_R;Partial_Pct;TP_Strategy;TP_Param;Trail_Strategy;Location_Filter;Dash_Note
Impulse Up - BoS Up;Impulse Down - BoS Up;Impulse Down - ChoCh Down;1;1;0;-1;50;HTF_ACTIVE;10;TRAIL_STRUCT;HTF_ZONE;27-Buy Major - Chot 50% HTF_ACTIVE som 10.0 pips
Impulse Up - BoS Up;Impulse Down - BoS Up;Impulse Down - BoS Down;1;1;0;-1;50;HTF_ACTIVE;10;TRAIL_STRUCT;HTF_ZONE;28-Buy Major - Chot 50% HTF_ACTIVE som 10.0 pips
Impulse Up - BoS Up;Impulse Down - BoS Up;Impulse Down - BoS Up;1;1;0;-1;50;HTF_ACTIVE;10;TRAIL_STRUCT;HTF_ZONE;29-Buy Major - Chot 50% HTF_ACTIVE som 10.0 pips
Impulse Up - BoS Up;Impulse Down - BoS Up;Impulse Up - ChoCh Up;1;1;0;-1;50;HTF_ACTIVE;10;TRAIL_STRUCT;HTF_ZONE;30-Buy Major - Chot 50% HTF_ACTIVE som 10.0 pips
Impulse Up - BoS Up;Impulse Up - ChoCh Up;Impulse Up - BoS Up;1;1;0;-1;50;HTF_ACTIVE;10;TRAIL_STRUCT;HTF_ZONE;31-Buy Major - Chot 50% HTF_ACTIVE som 10.0 pips
Impulse Up - BoS Up;Impulse Up - ChoCh Up;Impulse Up - BoS Down;1;1;0;-1;50;HTF_ACTIVE;10;TRAIL_STRUCT;HTF_ZONE;32-Buy Major - Chot 50% HTF_ACTIVE som 10.0 pips
Impulse Up - BoS Up;Impulse Up - ChoCh Up;Impulse Down - ChoCh Down;1;1;0;-1;50;HTF_ACTIVE;10;TRAIL_STRUCT;HTF_ZONE;33-Buy Major - Chot 50% HTF_ACTIVE som 10.0 pips
Impulse Up - BoS Up;Impulse Up - ChoCh Up;Impulse Down - BoS Down;1;1;0;-1;50;HTF_ACTIVE;10;TRAIL_STRUCT;HTF_ZONE;34-Buy Major - Chot 50% HTF_ACTIVE som 10.0 pips
Impulse Up - BoS Up;Impulse Up - ChoCh Up;Impulse Down - BoS Up;1;1;0;-1;50;HTF_ACTIVE;10;TRAIL_STRUCT;HTF_ZONE;35-Buy Major - Chot 50% HTF_ACTIVE som 10.0 pips
Impulse Up - BoS Up;Impulse Up - ChoCh Up;Impulse Up - ChoCh Up;1;1;0;-1;50;HTF_ACTIVE;10;TRAIL_STRUCT;HTF_ZONE;36-Buy Major - Chot 50% HTF_ACTIVE som 10.0 pips
Impulse Up - BoS Down;Impulse Up - BoS Up;Impulse Up - BoS Up;1;1;0;-1;100;HTF_OPPOSITE_ZONE;10;TRAIL_STRUCT;HTF_ZONE;37-Buy MajorTP: HTF_OPPOSITE_ZONE10.0
Impulse Up - BoS Down;Impulse Up - BoS Up;Impulse Up - BoS Down;1;1;0;-1;100;HTF_OPPOSITE_ZONE;10;TRAIL_STRUCT;HTF_ZONE;38-Buy MajorTP: HTF_OPPOSITE_ZONE10.0
Impulse Up - BoS Down;Impulse Up - BoS Up;Impulse Down - ChoCh Down;1;1;0;-1;100;HTF_OPPOSITE_ZONE;10;TRAIL_STRUCT;HTF_ZONE;39-Buy MajorTP: HTF_OPPOSITE_ZONE10.0
Impulse Up - BoS Down;Impulse Up - BoS Up;Impulse Down - BoS Down;1;1;0;-1;100;HTF_OPPOSITE_ZONE;10;TRAIL_STRUCT;HTF_ZONE;40-Buy MajorTP: HTF_OPPOSITE_ZONE10.0
Impulse Up - BoS Down;Impulse Up - BoS Up;Impulse Down - BoS Up;1;1;0;-1;100;HTF_OPPOSITE_ZONE;10;TRAIL_STRUCT;HTF_ZONE;41-Buy MajorTP: HTF_OPPOSITE_ZONE10.0
Impulse Up - BoS Down;Impulse Up - BoS Up;Impulse Up - ChoCh Up;1;1;0;-1;100;HTF_OPPOSITE_ZONE;10;TRAIL_STRUCT;HTF_ZONE;42-Buy MajorTP: HTF_OPPOSITE_ZONE10.0
Impulse Up - BoS Down;Impulse Up - BoS Down;Impulse Up - BoS Up;0;0;0;0;0;FIXED_R;0;NONE;NONE;43-Dung ngoai - song chinh lech pha song phu tren ca 2 TF
Impulse Up - BoS Down;Impulse Up - BoS Down;Impulse Up - BoS Down;0;0;0;0;0;FIXED_R;0;NONE;NONE;44-Dung ngoai - song chinh lech pha song phu tren ca 2 TF
Impulse Up - BoS Down;Impulse Up - BoS Down;Impulse Down - ChoCh Down;0;0;0;0;0;FIXED_R;0;NONE;NONE;45-Dung ngoai - song chinh lech pha song phu tren ca 2 TF
Impulse Up - BoS Down;Impulse Up - BoS Down;Impulse Down - BoS Down;0;0;0;0;0;FIXED_R;0;NONE;NONE;46-Dung ngoai - song chinh lech pha song phu tren ca 2 TF
Impulse Up - BoS Down;Impulse Up - BoS Down;Impulse Down - BoS Up;0;0;0;0;0;FIXED_R;0;NONE;NONE;47-Dung ngoai - song chinh lech pha song phu tren ca 2 TF
Impulse Up - BoS Down;Impulse Up - BoS Down;Impulse Up - ChoCh Up;0;0;0;0;0;FIXED_R;0;NONE;NONE;48-Dung ngoai - song chinh lech pha song phu tren ca 2 TF
Impulse Up - BoS Down;Impulse Down - ChoCh Down;Impulse Up - BoS Up;2;1;0;-1;100;HTF_OPPOSITE_ZONE;10;TRAIL_STRUCT;HTF_ZONE;49-Sell Major - Chot 100% HTF_OPPOSITE_ZONE som 10.0 pips
Impulse Up - BoS Down;Impulse Down - ChoCh Down;Impulse Up - BoS Down;2;1;0;-1;100;HTF_OPPOSITE_ZONE;10;TRAIL_STRUCT;HTF_ZONE;50-Sell Major - Chot 100% HTF_OPPOSITE_ZONE som 10.0 pips
Impulse Up - BoS Down;Impulse Down - ChoCh Down;Impulse Down - ChoCh Down;2;1;0;-1;100;HTF_OPPOSITE_ZONE;10;TRAIL_STRUCT;HTF_ZONE;51-Sell Major - Chot 100% HTF_OPPOSITE_ZONE som 10.0 pips
Impulse Up - BoS Down;Impulse Down - ChoCh Down;Impulse Down - BoS Down;2;1;0;-1;100;HTF_OPPOSITE_ZONE;10;TRAIL_STRUCT;HTF_ZONE;52-Sell Major - Chot 100% HTF_OPPOSITE_ZONE som 10.0 pips
Impulse Up - BoS Down;Impulse Down - ChoCh Down;Impulse Down - BoS Up;2;1;0;-1;100;HTF_OPPOSITE_ZONE;10;TRAIL_STRUCT;HTF_ZONE;53-Sell Major - Chot 100% HTF_OPPOSITE_ZONE som 10.0 pips
Impulse Up - BoS Down;Impulse Down - ChoCh Down;Impulse Up - ChoCh Up;2;1;0;-1;100;HTF_OPPOSITE_ZONE;10;TRAIL_STRUCT;HTF_ZONE;54-Sell Major - Chot 100% HTF_OPPOSITE_ZONE som 10.0 pips
Impulse Up - BoS Down;Impulse Down - BoS Down;Impulse Up - BoS Up;2;1;0;-1;100;HTF_OPPOSITE_ZONE;10;TRAIL_STRUCT;HTF_ZONE;55-Sell Major - Chot 100% HTF_OPPOSITE_ZONE som 10.0 pips
Impulse Up - BoS Down;Impulse Down - BoS Down;Impulse Up - BoS Down;2;1;0;-1;100;HTF_OPPOSITE_ZONE;10;TRAIL_STRUCT;HTF_ZONE;56-Sell Major - Chot 100% HTF_OPPOSITE_ZONE som 10.0 pips
Impulse Up - BoS Down;Impulse Down - BoS Down;Impulse Down - ChoCh Down;2;1;0;-1;100;HTF_OPPOSITE_ZONE;10;TRAIL_STRUCT;HTF_ZONE;57-Sell Major - Chot 100% HTF_OPPOSITE_ZONE som 10.0 pips
Impulse Up - BoS Down;Impulse Down - BoS Down;Impulse Down - BoS Down;2;1;0;-1;100;HTF_OPPOSITE_ZONE;10;TRAIL_STRUCT;HTF_ZONE;58-Sell Major - Chot 100% HTF_OPPOSITE_ZONE som 10.0 pips
Impulse Up - BoS Down;Impulse Down - BoS Down;Impulse Down - BoS Up;2;1;0;-1;100;HTF_OPPOSITE_ZONE;10;TRAIL_STRUCT;HTF_ZONE;59-Sell Major - Chot 100% HTF_OPPOSITE_ZONE som 10.0 pips
Impulse Up - BoS Down;Impulse Down - BoS Down;Impulse Up - ChoCh Up;2;1;0;-1;100;HTF_OPPOSITE_ZONE;10;TRAIL_STRUCT;HTF_ZONE;60-Sell Major - Chot 100% HTF_OPPOSITE_ZONE som 10.0 pips
Impulse Up - BoS Down;Impulse Down - BoS Up;Impulse Up - BoS Up;1;1;0;-1;100;HTF_OPPOSITE_ZONE;10;TRAIL_STRUCT;HTF_ZONE;61-Buy MajorTP: HTF_OPPOSITE_ZONE10.0
Impulse Up - BoS Down;Impulse Down - BoS Up;Impulse Up - BoS Down;1;1;0;-1;100;HTF_OPPOSITE_ZONE;10;TRAIL_STRUCT;HTF_ZONE;62-Buy MajorTP: HTF_OPPOSITE_ZONE10.0
Impulse Up - BoS Down;Impulse Down - BoS Up;Impulse Down - ChoCh Down;1;1;0;-1;100;HTF_OPPOSITE_ZONE;10;TRAIL_STRUCT;HTF_ZONE;63-Buy MajorTP: HTF_OPPOSITE_ZONE10.0
Impulse Up - BoS Down;Impulse Down - BoS Up;Impulse Down - BoS Down;1;1;0;-1;100;HTF_OPPOSITE_ZONE;10;TRAIL_STRUCT;HTF_ZONE;64-Buy MajorTP: HTF_OPPOSITE_ZONE10.0
Impulse Up - BoS Down;Impulse Down - BoS Up;Impulse Down - BoS Up;1;1;0;-1;100;HTF_OPPOSITE_ZONE;10;TRAIL_STRUCT;HTF_ZONE;65-Buy MajorTP: HTF_OPPOSITE_ZONE10.0
Impulse Up - BoS Down;Impulse Down - BoS Up;Impulse Up - ChoCh Up;1;1;0;-1;100;HTF_OPPOSITE_ZONE;10;TRAIL_STRUCT;HTF_ZONE;66-Buy MajorTP: HTF_OPPOSITE_ZONE10.0
Impulse Up - BoS Down;Impulse Up - ChoCh Up;Impulse Up - BoS Up;1;1;0;-1;100;HTF_OPPOSITE_ZONE;10;TRAIL_STRUCT;HTF_ZONE;67-Buy MajorTP: HTF_OPPOSITE_ZONE10.0
Impulse Up - BoS Down;Impulse Up - ChoCh Up;Impulse Up - BoS Down;1;1;0;-1;100;HTF_OPPOSITE_ZONE;10;TRAIL_STRUCT;HTF_ZONE;68-Buy MajorTP: HTF_OPPOSITE_ZONE10.0
Impulse Up - BoS Down;Impulse Up - ChoCh Up;Impulse Down - ChoCh Down;1;1;0;-1;100;HTF_OPPOSITE_ZONE;10;TRAIL_STRUCT;HTF_ZONE;69-Buy MajorTP: HTF_OPPOSITE_ZONE10.0
Impulse Up - BoS Down;Impulse Up - ChoCh Up;Impulse Down - BoS Down;1;1;0;-1;100;HTF_OPPOSITE_ZONE;10;TRAIL_STRUCT;HTF_ZONE;70-Buy MajorTP: HTF_OPPOSITE_ZONE10.0
Impulse Up - BoS Down;Impulse Up - ChoCh Up;Impulse Down - BoS Up;1;1;0;-1;100;HTF_OPPOSITE_ZONE;10;TRAIL_STRUCT;HTF_ZONE;71-Buy MajorTP: HTF_OPPOSITE_ZONE10.0
Impulse Up - BoS Down;Impulse Up - ChoCh Up;Impulse Up - ChoCh Up;1;1;0;-1;100;HTF_OPPOSITE_ZONE;10;TRAIL_STRUCT;HTF_ZONE;72-Buy MajorTP: HTF_OPPOSITE_ZONE10.0
Impulse Down - ChoCh Down;Impulse Up - BoS Up;Impulse Up - BoS Up;0;0;0;0;0;FIXED_R;0;NONE;NONE;73-Dung ngoaiTP: FIXED_R0.0
Impulse Down - ChoCh Down;Impulse Up - BoS Up;Impulse Up - BoS Down;0;0;0;0;0;FIXED_R;0;NONE;NONE;74-Dung ngoaiTP: FIXED_R0.0
Impulse Down - ChoCh Down;Impulse Up - BoS Up;Impulse Down - ChoCh Down;4;1;0;3;50;FIXED_R;10;TRAIL_STRUCT;HTF_ZONE;75-Sell Minor SL theo Minor 2, chot bot 50% tai 3.0R, TP: 10.0R
Impulse Down - ChoCh Down;Impulse Up - BoS Up;Impulse Down - BoS Down;0;0;0;0;0;FIXED_R;0;NONE;NONE;76-Dung ngoaiTP: FIXED_R0.0
Impulse Down - ChoCh Down;Impulse Up - BoS Up;Impulse Down - BoS Up;0;0;0;0;0;FIXED_R;0;NONE;NONE;77-Dung ngoaiTP: FIXED_R0.0
Impulse Down - ChoCh Down;Impulse Up - BoS Up;Impulse Up - ChoCh Up;0;0;0;0;0;FIXED_R;0;NONE;NONE;78-Dung ngoaiTP: FIXED_R0.0
Impulse Down - ChoCh Down;Impulse Up - BoS Down;Impulse Up - BoS Up;0;0;0;0;0;FIXED_R;0;NONE;NONE;79-Dung ngoaiTP: FIXED_R0.0
Impulse Down - ChoCh Down;Impulse Up - BoS Down;Impulse Up - BoS Down;0;0;0;0;0;FIXED_R;0;NONE;NONE;80-Dung ngoaiTP: FIXED_R0.0
Impulse Down - ChoCh Down;Impulse Up - BoS Down;Impulse Down - ChoCh Down;4;1;0;3;50;FIXED_R;10;TRAIL_STRUCT;HTF_ZONE;81-Sell Minor SL theo Minor 2, chot bot 50% tai 3.0R, TP: 10.0R
Impulse Down - ChoCh Down;Impulse Up - BoS Down;Impulse Down - BoS Down;0;0;0;0;0;FIXED_R;0;NONE;NONE;82-Dung ngoaiTP: FIXED_R0.0
Impulse Down - ChoCh Down;Impulse Up - BoS Down;Impulse Down - BoS Up;0;0;0;0;0;FIXED_R;0;NONE;NONE;83-Dung ngoaiTP: FIXED_R0.0
Impulse Down - ChoCh Down;Impulse Up - BoS Down;Impulse Up - ChoCh Up;0;0;0;0;0;FIXED_R;0;NONE;NONE;84-Dung ngoaiTP: FIXED_R0.0
Impulse Down - ChoCh Down;Impulse Down - ChoCh Down;Impulse Up - BoS Up;2;1;0;3;50;FIXED_R;10;TRAIL_STRUCT;HTF_ZONE;85-Sell Major-3R chot bot 50% vol, con lai nuoi TP 10.0R
Impulse Down - ChoCh Down;Impulse Down - ChoCh Down;Impulse Up - BoS Down;2;1;0;3;50;FIXED_R;10;TRAIL_STRUCT;HTF_ZONE;86-Sell Major-3R chot bot 50% vol, con lai nuoi TP 10.0R
Impulse Down - ChoCh Down;Impulse Down - ChoCh Down;Impulse Down - ChoCh Down;2;1;0;3;50;FIXED_R;10;TRAIL_STRUCT;HTF_ZONE;87-Sell Major-3R chot bot 50% vol, con lai nuoi TP 10.0R
