time_vao,time_dong,chieu,nguon,gia_vao,sl_goc,R_pip,mfe_pip,mae_pip,mfe_R,mae_R,cham10,phut10,phut_ve_entry_10,cham20,phut20,phut_ve_entry_20,cham30,phut30,phut_ve_entry_30,cham50,phut50,phut_ve_entry_50,cham80,phut80,phut_ve_entry_80,cham100,phut100,phut_ve_entry_100,cham150,phut150,phut_ve_entry_150,cham200,phut200,phut_ve_entry_200,cham300,phut300,phut_ve_entry_300,ket_cuc,lai_usd,phut_giu
2026.01.02 00:45,2026.01.02 00:57,SELL,LienKe,4351.905,4356.298,43.9,10.2,30.3,0.23,0.69,1,5,6,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,SL,-43.93,12
2026.01.02 00:11,2026.01.02 00:57,SELL,LienKe,4350.528,4356.298,57.7,90.9,44.0,1.58,0.76,1,0,27,1,0,27,1,6,27,1,8,27,1,14,27,0,,,0,,,0,,,0,,,SL,-57.70,46
2026.01.05 15:00,2026.01.05 15:02,SELL,LienKe,4441.402,4445.879,44.8,0.0,41.8,0.00,0.93,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,SL,-44.77,2
2026.01.05 14:56,2026.01.05 15:02,SELL,LienKe,4440.003,4445.879,58.8,48.0,55.8,0.82,0.95,1,0,1,1,0,1,1,1,4,0,,,0,,,0,,,0,,,0,,,0,,,SL,-58.76,6
2026.01.06 08:28,2026.01.06 10:00,SELL,LienKe,4474.861,4479.002,41.4,299.0,1.9,7.22,0.05,1,0,-,1,0,-,1,1,-,1,2,-,1,4,-,1,13,-,1,42,-,1,43,-,0,,,TP,300.00,92
2026.01.06 08:28,2026.01.06 10:03,SELL,LienKe,4473.745,4479.002,52.6,292.7,13.0,5.57,0.25,1,0,1,1,1,-,1,2,-,1,3,-,1,13,-,1,35,-,1,43,-,1,47,-,0,,,TP,300.00,95
2026.01.08 05:28,2026.01.08 05:33,BUY,Swing,4424.244,4419.761,44.8,27.8,44.1,0.62,0.98,1,1,2,1,1,2,0,,,0,,,0,,,0,,,0,,,0,,,0,,,SL,-44.83,4
2026.01.08 05:17,2026.01.08 05:33,BUY,Swing,4425.912,4419.761,61.5,36.7,60.7,0.60,0.99,1,0,1,1,4,9,1,5,9,0,,,0,,,0,,,0,,,0,,,0,,,SL,-61.51,16
2026.01.09 09:21,2026.01.09 12:06,SELL,LienKe,4476.848,4480.674,38.3,94.9,33.9,2.48,0.89,1,1,159,1,3,159,1,8,159,1,14,159,1,69,159,0,,,0,,,0,,,0,,,SL,-38.26,164
2026.01.09 09:21,2026.01.09 12:06,SELL,LienKe,4475.959,4480.674,47.2,86.1,42.8,1.83,0.91,1,3,158,1,8,158,1,12,158,1,33,158,1,85,158,0,,,0,,,0,,,0,,,SL,-47.15,165
2026.01.09 13:20,2026.01.09 14:10,BUY,LienKe,4462.439,4457.898,45.4,295.3,35.3,6.50,0.78,1,0,10,1,0,10,1,0,10,1,0,10,1,2,10,1,4,10,1,11,-,1,12,-,0,,,TP,300.00,50
2026.01.09 12:34,2026.01.09 14:11,BUY,LienKe,4464.180,4457.898,62.8,290.7,52.7,4.63,0.84,1,1,2,1,1,2,1,12,20,1,28,45,1,31,45,1,51,56,1,57,-,1,58,-,0,,,TP,300.00,97
2026.01.13 12:26,2026.01.13 13:30,BUY,LienKe,4579.609,4576.161,34.5,268.9,17.6,7.80,0.51,1,0,1,1,9,-,1,9,-,1,12,-,1,21,-,1,23,-,1,33,-,1,45,-,0,,,TP,300.00,64
2026.01.13 12:26,2026.01.13 13:30,BUY,LienKe,4579.989,4576.161,38.3,265.1,21.4,6.93,0.56,1,3,4,1,9,-,1,10,-,1,15,-,1,21,-,1,23,-,1,33,-,1,45,-,0,,,TP,300.00,64
2026.01.14 04:03,2026.01.14 05:01,SELL,LienKe,4629.541,4633.246,37.0,41.2,18.3,1.11,0.49,1,2,13,1,7,13,1,20,33,0,,,0,,,0,,,0,,,0,,,0,,,SL,-37.05,58
2026.01.14 04:03,2026.01.14 05:01,SELL,LienKe,4628.908,4633.246,43.4,34.9,24.7,0.80,0.57,1,4,7,1,19,32,1,26,32,0,,,0,,,0,,,0,,,0,,,0,,,SL,-43.38,58
2026.01.14 19:03,2026.01.14 23:23,SELL,LienKe,4640.009,4646.164,61.5,293.0,17.3,4.76,0.28,1,0,22,1,1,22,1,1,22,1,2,22,1,59,67,1,59,67,1,131,-,1,154,-,0,,,TP,300.00,260
2026.01.16 00:47,2026.01.16 01:00,BUY,LienKe,4600.783,4596.807,39.8,12.4,22.5,0.31,0.57,1,8,9,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,SL,-39.76,13
2026.01.16 00:47,2026.01.16 01:00,BUY,LienKe,4600.978,4596.807,41.7,10.5,24.4,0.25,0.59,1,9,9,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,SL,-41.71,13
2026.01.16 05:49,2026.01.16 05:55,SELL,LienKe,4611.386,4615.171,37.8,3.3,23.1,0.09,0.61,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,SL,-37.85,6
2026.01.16 05:49,2026.01.16 05:55,SELL,LienKe,4610.638,4615.171,45.3,0.0,30.6,0.00,0.67,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,SL,-45.33,6
2026.01.21 14:11,2026.01.21 15:19,BUY,LienKe,4847.133,4838.595,85.4,252.9,79.3,2.96,0.93,1,0,1,1,2,2,1,2,2,1,5,8,1,9,42,1,9,42,1,17,42,1,19,42,0,,,SL,-85.38,68
2026.01.21 14:06,2026.01.21 15:19,BUY,LienKe,4858.499,4838.595,199.0,139.2,193.0,0.70,0.97,1,0,0,1,0,0,1,0,0,1,1,4,1,4,4,1,4,4,0,,,0,,,0,,,SL,-199.04,73
2026.01.23 08:01,2026.01.23 08:18,BUY,LienKe,4943.023,4938.697,43.3,45.6,38.8,1.05,0.90,1,0,10,1,1,10,1,1,10,0,,,0,,,0,,,0,,,0,,,0,,,SL,-43.26,17
2026.01.23 08:01,2026.01.23 08:18,BUY,LienKe,4945.220,4938.697,65.2,23.6,60.7,0.36,0.93,1,3,4,1,7,10,0,,,0,,,0,,,0,,,0,,,0,,,0,,,SL,-65.23,17
2026.01.23 14:11,2026.01.23 14:46,SELL,LienKe,4946.791,4950.993,42.0,138.3,31.3,3.29,0.74,1,0,1,1,1,1,1,4,25,1,4,25,1,19,25,1,19,25,0,,,0,,,0,,,SL,-42.02,35
2026.01.23 13:08,2026.01.23 14:46,SELL,LienKe,4944.771,4950.993,62.2,207.9,51.5,3.34,0.83,1,0,62,1,0,62,1,0,62,1,2,62,1,7,62,1,12,62,1,14,62,1,15,62,0,,,SL,-62.22,98
2026.01.26 13:01,2026.01.26 13:02,BUY,LienKe,5076.673,5072.173,45.0,40.4,2.0,0.90,0.04,1,0,-,1,0,-,1,0,-,0,,,0,,,0,,,0,,,0,,,0,,,SL,-45.00,1
2026.01.26 13:01,2026.01.26 13:02,BUY,LienKe,5078.226,5072.173,60.5,24.9,17.5,0.41,0.29,1,0,0,1,0,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,SL,-60.53,1
2026.01.27 16:21,2026.01.27 20:03,SELL,Swing,5099.525,5106.130,66.1,231.8,17.3,3.51,0.26,1,0,8,1,0,8,1,0,8,1,3,8,1,13,214,1,22,214,1,35,214,1,56,214,0,,,SL,-66.05,222
2026.01.28 15:09,2026.01.28 15:24,BUY,LienKe,5244.276,5232.248,120.3,299.3,31.1,2.49,0.26,1,1,-,1,1,-,1,1,-,1,1,-,1,1,-,1,1,-,1,1,-,1,6,-,0,,,TP,300.00,14
2026.01.28 16:59,2026.01.28 17:00,SELL,LienKe,5298.342,5302.788,44.5,0.0,20.2,0.00,0.45,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,SL,-44.46,1
2026.01.28 16:59,2026.01.28 17:00,SELL,LienKe,5297.205,5302.788,55.8,14.4,31.5,0.26,0.56,1,0,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,SL,-55.83,1
2026.01.30 02:08,2026.01.30 02:09,BUY,LienKe,5287.886,5276.364,115.2,0.0,80.1,0.00,0.70,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,SL,-115.22,1
2026.02.02 09:48,2026.02.02 09:49,SELL,LienKe,4708.341,4716.825,84.8,0.0,71.7,0.00,0.85,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,SL,-84.84,1
2026.02.02 09:42,2026.02.02 09:49,SELL,LienKe,4702.823,4716.825,140.0,179.9,126.9,1.28,0.91,1,0,5,1,0,5,1,0,5,1,0,5,1,0,5,1,0,5,1,2,5,0,,,0,,,SL,-140.02,7
2026.02.03 13:47,2026.02.03 14:00,SELL,LienKe,4948.285,4953.953,56.7,273.0,28.2,4.82,0.50,1,1,1,1,1,1,1,2,-,1,3,-,1,3,-,1,4,-,1,4,-,1,6,-,0,,,TP,300.00,13
2026.02.03 13:47,2026.02.03 14:15,SELL,LienKe,4945.688,4953.953,82.7,278.3,54.1,3.37,0.65,1,0,0,1,3,-,1,3,-,1,3,-,1,4,-,1,4,-,1,6,-,1,6,-,0,,,TP,300.00,28
2026.02.04 00:16,2026.02.04 00:18,SELL,Swing,4991.422,4997.322,59.0,33.2,55.5,0.56,0.94,1,0,1,1,0,1,1,0,1,0,,,0,,,0,,,0,,,0,,,0,,,SL,-59.00,2
2026.02.04 00:16,2026.02.04 00:18,SELL,Swing,4988.425,4997.322,89.0,37.0,85.5,0.42,0.96,1,0,0,1,0,0,1,0,0,0,,,0,,,0,,,0,,,0,,,0,,,SL,-88.97,2
2026.02.09 10:03,2026.02.09 10:27,BUY,LienKe,4998.719,4993.631,50.9,164.2,14.6,3.23,0.29,1,1,23,1,1,23,1,1,23,1,1,23,1,2,23,1,2,23,1,12,23,0,,,0,,,SL,-50.88,24
2026.02.09 10:03,2026.02.09 10:27,BUY,LienKe,5001.138,4993.631,75.1,140.0,38.8,1.87,0.52,1,1,22,1,1,22,1,1,22,1,2,22,1,2,22,1,3,22,0,,,0,,,0,,,SL,-75.07,24
2026.02.11 02:45,2026.02.11 03:31,SELL,LienKe,5054.087,5059.748,56.6,88.2,52.4,1.56,0.92,1,2,2,1,3,5,1,20,37,1,30,37,1,31,37,0,,,0,,,0,,,0,,,SL,-56.61,46
2026.02.11 02:02,2026.02.11 03:31,SELL,LienKe,5051.089,5059.748,86.6,183.5,82.3,2.12,0.95,1,0,40,1,0,40,1,0,40,1,0,40,1,4,40,1,4,40,1,12,40,0,,,0,,,SL,-86.59,89
