time_vao,time_dong,chieu,nguon,gia_vao,sl_goc,R_pip,mfe_pip,mae_pip,mfe_R,mae_R,cham10,phut10,phut_ve_entry_10,cham20,phut20,phut_ve_entry_20,cham30,phut30,phut_ve_entry_30,cham50,phut50,phut_ve_entry_50,cham80,phut80,phut_ve_entry_80,cham100,phut100,phut_ve_entry_100,cham150,phut150,phut_ve_entry_150,cham200,phut200,phut_ve_entry_200,cham300,phut300,phut_ve_entry_300,ket_cuc,lai_usd,phut_giu
2026.04.01 23:16,2026.04.01 23:19,SELL,LienKe,4791.940,4798.978,70.4,32.5,21.5,0.46,0.30,1,0,1,1,0,1,1,0,1,0,,,0,,,0,,,0,,,0,,,0,,,SL,-70.38,3
2026.04.01 23:19,2026.04.01 23:30,SELL,LienKe,4793.932,4798.978,50.5,17.9,52.6,0.36,1.04,1,5,6,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,SL,-50.46,11
2026.04.02 14:00,2026.04.02 14:11,SELL,LienKe,4649.368,4654.334,49.7,174.7,22.2,3.52,0.45,1,0,6,1,0,6,1,0,6,1,0,6,1,0,6,1,0,6,1,1,6,0,,,0,,,SL,-49.66,11
2026.04.02 13:59,2026.04.02 14:11,SELL,LienKe,4645.720,4654.334,86.1,138.2,58.7,1.60,0.68,1,0,0,1,0,0,1,1,7,1,1,7,1,1,7,1,2,7,0,,,0,,,0,,,SL,-86.14,12
2026.04.06 09:03,2026.04.06 09:43,SELL,Swing,4700.406,4705.704,53.0,30.4,51.0,0.57,0.96,1,1,2,1,1,2,1,20,21,0,,,0,,,0,,,0,,,0,,,0,,,SL,-52.98,39
2026.04.06 09:01,2026.04.06 09:43,SELL,Swing,4698.050,4705.704,76.5,8.5,74.5,0.11,0.97,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,SL,-76.54,42
2026.04.09 08:45,2026.04.09 10:24,SELL,LienKe,4731.474,4736.102,46.3,81.3,23.5,1.76,0.51,1,2,3,1,2,3,1,7,24,1,11,24,1,21,24,0,,,0,,,0,,,0,,,SL,-46.28,99
2026.04.09 08:45,2026.04.09 10:24,SELL,Swing,4731.474,4736.102,46.3,81.3,23.5,1.76,0.51,1,2,3,1,2,3,1,7,24,1,11,24,1,21,24,0,,,0,,,0,,,0,,,SL,-46.28,99
2026.04.09 08:45,2026.04.09 10:24,SELL,LienKe,4729.918,4736.102,61.8,65.7,39.1,1.06,0.63,1,7,24,1,8,24,1,11,24,1,15,24,0,,,0,,,0,,,0,,,0,,,SL,-61.84,99
2026.04.09 08:45,2026.04.09 10:24,SELL,Swing,4729.918,4736.102,61.8,65.7,39.1,1.06,0.63,1,7,24,1,8,24,1,11,24,1,15,24,0,,,0,,,0,,,0,,,0,,,SL,-61.84,99
2026.04.09 13:15,2026.04.09 13:35,SELL,LienKe,4758.355,4762.840,44.9,75.5,3.9,1.68,0.09,1,1,7,1,1,7,1,2,7,1,3,7,0,,,0,,,0,,,0,,,0,,,SL,-44.85,20
2026.04.09 12:02,2026.04.09 13:35,SELL,LienKe,4755.190,4762.840,76.5,200.6,35.6,2.62,0.47,1,0,70,1,0,70,1,1,70,1,2,70,1,4,70,1,7,70,1,14,70,1,25,70,0,,,SL,-76.50,93
2026.04.10 12:16,2026.04.10 12:30,SELL,LienKe,4768.697,4772.947,42.5,85.4,27.7,2.01,0.65,1,1,2,1,4,-,1,5,-,1,7,-,1,8,-,0,,,0,,,0,,,0,,,SL,-42.50,14
2026.04.10 12:02,2026.04.10 12:30,SELL,LienKe,4766.404,4772.947,65.4,62.5,50.6,0.95,0.77,1,0,1,1,0,1,1,21,-,1,22,-,0,,,0,,,0,,,0,,,0,,,SL,-65.43,28
2026.04.10 16:04,2026.04.10 16:06,BUY,LienKe,4756.323,4751.759,45.6,0.0,44.9,0.00,0.98,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,SL,-45.64,2
2026.04.10 16:04,2026.04.10 16:06,BUY,LienKe,4758.908,4751.759,71.5,2.3,70.8,0.03,0.99,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,SL,-71.49,2
2026.04.13 16:51,2026.04.13 17:26,SELL,LienKe,4743.433,4749.229,58.0,175.4,47.5,3.03,0.82,1,0,28,1,0,28,1,0,28,1,1,28,1,5,28,1,8,28,1,16,28,0,,,0,,,SL,-57.96,35
2026.04.13 16:48,2026.04.13 17:26,SELL,LienKe,4740.863,4749.229,83.7,149.7,73.2,1.79,0.88,1,0,2,1,0,2,1,1,2,1,5,30,1,11,30,1,19,30,0,,,0,,,0,,,SL,-83.66,38
2026.04.14 10:41,2026.04.14 13:19,BUY,LienKe,4757.449,4748.773,86.8,282.4,5.3,3.25,0.06,1,0,0,1,1,-,1,1,-,1,1,-,1,3,-,1,3,-,1,24,-,1,35,-,0,,,TP,300.00,158
2026.04.14 10:40,2026.04.14 13:34,BUY,LienKe,4763.397,4748.773,146.2,289.7,64.8,1.98,0.44,1,0,1,1,0,1,1,0,1,1,5,102,1,13,102,1,26,102,1,44,102,1,156,-,0,,,TP,300.00,174
2026.04.15 00:11,2026.04.15 00:17,BUY,LienKe,4833.385,4829.619,37.7,5.8,28.9,0.15,0.77,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,SL,-37.66,6
2026.04.15 00:02,2026.04.15 00:17,BUY,LienKe,4834.533,4829.619,49.1,52.9,40.4,1.08,0.82,1,0,6,1,1,6,1,1,6,1,4,6,0,,,0,,,0,,,0,,,0,,,SL,-49.14,15
2026.04.16 05:07,2026.04.16 10:15,SELL,LienKe,4836.542,4841.319,47.8,298.7,4.8,6.25,0.10,1,0,3,1,1,3,1,17,-,1,24,-,1,25,-,1,28,-,1,52,-,1,81,-,0,,,TP,300.00,308
2026.04.16 14:04,2026.04.16 14:40,BUY,Swing,4788.743,4781.636,71.1,164.8,34.8,2.32,0.49,1,0,1,1,0,1,1,0,1,1,3,-,1,4,-,1,4,-,1,6,-,0,,,0,,,SL,-71.07,36
2026.04.16 13:56,2026.04.16 14:40,BUY,Swing,4793.232,4781.636,116.0,119.9,79.7,1.03,0.69,1,0,0,1,0,0,1,0,0,1,12,26,1,14,26,1,14,26,0,,,0,,,0,,,SL,-115.96,44
2026.04.17 01:23,2026.04.17 04:59,BUY,Swing,4773.854,4766.147,77.1,298.4,62.9,3.87,0.82,1,2,4,1,2,4,1,12,16,1,22,-,1,28,-,1,29,-,1,32,-,1,44,-,0,,,TP,300.00,215
2026.04.17 01:13,2026.04.17 07:50,BUY,Swing,4778.768,4766.147,126.2,275.4,112.1,2.18,0.89,1,0,1,1,0,1,1,2,8,1,3,8,1,40,-,1,42,-,1,54,-,1,204,-,0,,,SL,0.00,397
2026.04.21 04:20,2026.04.21 04:55,BUY,LienKe,4793.060,4788.891,41.7,21.7,41.0,0.52,0.98,1,0,3,1,1,3,0,,,0,,,0,,,0,,,0,,,0,,,0,,,SL,-41.69,35
2026.04.21 04:16,2026.04.21 04:55,BUY,LienKe,4795.102,4788.891,62.1,13.8,61.4,0.22,0.99,1,1,3,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,SL,-62.11,39
2026.04.21 13:06,2026.04.21 13:15,BUY,LienKe,4771.552,4763.799,77.5,23.9,70.9,0.31,0.91,1,1,2,1,1,2,0,,,0,,,0,,,0,,,0,,,0,,,0,,,SL,-77.53,8
2026.04.21 13:06,2026.04.21 13:15,BUY,Swing,4771.552,4763.799,77.5,23.9,70.9,0.31,0.91,1,1,2,1,1,2,0,,,0,,,0,,,0,,,0,,,0,,,0,,,SL,-77.53,8
2026.04.21 12:31,2026.04.21 13:15,BUY,LienKe,4776.485,4763.799,126.9,140.1,120.2,1.10,0.95,1,1,13,1,1,13,1,1,13,1,1,13,1,2,13,1,3,13,0,,,0,,,0,,,SL,-126.86,44
2026.04.21 12:31,2026.04.21 13:15,BUY,Swing,4776.485,4763.799,126.9,140.1,120.2,1.10,0.95,1,1,13,1,1,13,1,1,13,1,1,13,1,2,13,1,3,13,0,,,0,,,0,,,SL,-126.86,44
2026.04.21 16:29,2026.04.21 16:51,BUY,LienKe,4722.225,4716.576,56.5,52.0,40.5,0.92,0.72,1,2,4,1,2,4,1,3,4,1,6,8,0,,,0,,,0,,,0,,,0,,,SL,-56.49,22
2026.04.21 16:29,2026.04.21 16:51,BUY,LienKe,4725.091,4716.576,85.2,23.3,69.2,0.27,0.81,1,6,7,1,6,7,0,,,0,,,0,,,0,,,0,,,0,,,0,,,SL,-85.15,22
2026.04.22 10:02,2026.04.22 10:03,BUY,LienKe,4752.195,4748.779,34.2,0.0,15.9,0.00,0.47,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,SL,-34.16,1
2026.04.22 08:38,2026.04.22 10:03,BUY,LienKe,4753.017,4748.779,42.4,94.6,24.1,2.23,0.57,1,1,2,1,5,77,1,7,77,1,18,77,1,28,77,0,,,0,,,0,,,0,,,SL,-42.38,85
2026.04.22 12:42,2026.04.22 13:00,BUY,LienKe,4747.134,4742.656,44.8,20.7,43.0,0.46,0.96,1,1,2,1,1,2,0,,,0,,,0,,,0,,,0,,,0,,,0,,,SL,-44.78,18
2026.04.22 12:42,2026.04.22 13:00,BUY,LienKe,4748.652,4742.656,60.0,8.2,58.2,0.14,0.97,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,SL,-59.96,18
2026.04.22 23:04,2026.04.23 00:07,BUY,LienKe,4724.580,4720.353,42.3,52.3,42.0,1.24,0.99,1,1,2,1,6,35,1,6,35,1,16,35,0,,,0,,,0,,,0,,,0,,,SL,-58.32,63
2026.04.22 23:02,2026.04.23 00:07,BUY,LienKe,4726.602,4720.353,62.5,32.0,62.2,0.51,1.00,1,9,12,1,17,22,1,18,22,0,,,0,,,0,,,0,,,0,,,0,,,SL,-78.54,65
2026.04.23 16:06,2026.04.23 17:09,BUY,LienKe,4719.020,4712.546,64.7,179.2,23.7,2.77,0.37,1,2,2,1,5,8,1,6,8,1,18,61,1,27,61,1,28,61,1,38,61,0,,,0,,,SL,-64.74,63
2026.04.23 17:09,2026.04.23 17:09,BUY,LienKe,4716.597,4712.546,40.5,0.0,76.4,0.00,1.89,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,SL,-40.51,0
2026.04.24 04:16,2026.04.24 04:22,BUY,LienKe,4668.714,4664.137,45.8,18.9,11.2,0.41,0.25,1,0,1,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,SL,-45.77,6
2026.04.24 04:01,2026.04.24 04:22,BUY,LienKe,4670.461,4664.137,63.2,40.7,28.7,0.64,0.45,1,3,5,1,7,12,1,8,12,0,,,0,,,0,,,0,,,0,,,0,,,SL,-63.24,21
2026.04.28 12:02,2026.04.28 12:20,BUY,LienKe,4558.021,4551.677,63.4,288.1,8.4,4.54,0.13,1,0,-,1,0,-,1,0,-,1,0,-,1,1,-,1,2,-,1,3,-,1,10,-,0,,,TP,300.00,18
2026.04.29 12:38,2026.04.29 12:52,BUY,LienKe,4552.602,4547.947,46.5,73.9,35.0,1.59,0.75,1,1,13,1,1,13,1,1,13,1,2,13,0,,,0,,,0,,,0,,,0,,,SL,-46.55,14
2026.04.29 12:35,2026.04.29 12:52,BUY,LienKe,4555.283,4547.947,73.4,47.1,61.8,0.64,0.84,1,0,1,1,0,1,1,9,14,0,,,0,,,0,,,0,,,0,,,0,,,SL,-73.36,17
2026.05.01 02:17,2026.05.01 05:56,SELL,LienKe,4634.161,4637.585,34.2,285.6,20.9,8.34,0.61,1,3,-,1,4,-,1,4,-,1,11,-,1,25,-,1,27,-,1,35,-,1,135,-,0,,,TP,300.00,219
2026.05.01 02:14,2026.05.01 06:14,SELL,LienKe,4631.470,4637.585,61.1,299.1,47.8,4.89,0.78,1,7,10,1,8,10,1,21,81,1,28,81,1,31,81,1,32,81,1,136,-,1,153,-,0,,,TP,300.00,240
2026.05.01 20:06,2026.05.04 00:21,BUY,LienKe,4608.166,4604.311,38.6,211.6,37.7,5.49,0.98,1,0,3115,1,3,3115,1,6,3115,1,21,3115,1,46,3115,1,2996,3115,1,2996,3115,1,3037,3115,0,,,SL,-43.90,3135
2026.05.01 20:05,2026.05.04 00:21,BUY,LienKe,4609.522,4604.311,52.1,198.1,51.3,3.80,0.98,1,7,3115,1,9,3115,1,20,3115,1,23,3115,1,2998,3115,1,2998,3115,1,2998,3115,0,,,0,,,SL,-57.46,3136
2026.05.05 08:58,2026.05.05 11:42,SELL,LienKe,4558.401,4562.156,37.6,184.2,27.1,4.90,0.72,1,2,9,1,2,9,1,2,9,1,22,32,1,88,155,1,91,155,1,113,155,0,,,0,,,SL,-37.55,164
2026.05.05 08:58,2026.05.05 11:42,SELL,LienKe,4557.760,4562.156,44.0,177.8,33.5,4.04,0.76,1,2,7,1,2,7,1,2,7,1,31,32,1,88,150,1,91,150,1,113,150,0,,,0,,,SL,-43.96,164
2026.05.05 12:13,2026.05.05 12:24,SELL,LienKe,4565.433,4570.137,47.0,41.6,41.1,0.88,0.87,1,0,1,1,4,7,1,5,7,0,,,0,,,0,,,0,,,0,,,0,,,SL,-47.04,11
2026.05.05 12:13,2026.05.05 12:24,SELL,LienKe,4563.966,4570.137,61.7,27.0,55.8,0.44,0.90,1,5,7,1,6,7,0,,,0,,,0,,,0,,,0,,,0,,,0,,,SL,-61.71,11
2026.05.05 23:14,2026.05.05 23:49,SELL,Swing,4586.986,4591.957,49.7,71.6,38.5,1.44,0.77,1,2,4,1,3,4,1,3,4,1,16,24,0,,,0,,,0,,,0,,,0,,,SL,-49.71,35
2026.05.05 23:14,2026.05.05 23:49,SELL,Swing,4585.323,4591.957,66.3,54.9,55.1,0.83,0.83,1,3,4,1,14,19,1,15,19,1,16,19,0,,,0,,,0,,,0,,,0,,,SL,-66.34,35
2026.05.06 12:17,2026.05.06 12:19,BUY,LienKe,4671.991,4662.034,99.6,4.2,73.2,0.04,0.74,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,SL,-99.57,1
2026.05.06 12:16,2026.05.06 12:19,BUY,LienKe,4675.107,4662.034,130.7,17.3,104.4,0.13,0.80,1,0,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,SL,-130.73,3
2026.05.07 22:05,2026.05.07 22:45,BUY,LienKe,4687.846,4683.305,45.4,113.4,18.9,2.50,0.42,1,1,2,1,1,2,1,1,2,1,1,2,1,7,9,1,16,29,0,,,0,,,0,,,SL,-45.41,40
2026.05.07 22:01,2026.05.07 22:45,BUY,LienKe,4689.485,4683.305,61.8,97.0,35.3,1.57,0.57,1,1,4,1,1,4,1,1,4,1,9,13,1,11,13,0,,,0,,,0,,,0,,,SL,-61.80,44
2026.05.11 00:19,2026.05.11 00:52,BUY,LienKe,4678.138,4673.550,45.9,152.7,24.7,3.33,0.54,1,1,-,1,1,-,1,1,-,1,2,-,1,6,-,1,12,-,1,13,-,0,,,0,,,SL,-45.88,33
2026.05.11 00:18,2026.05.11 00:52,BUY,LienKe,4680.072,4673.550,65.2,133.4,44.0,2.05,0.67,1,1,1,1,3,-,1,3,-,1,5,-,1,13,-,1,13,-,0,,,0,,,0,,,SL,-65.22,34
2026.05.12 10:41,2026.05.12 13:16,BUY,LienKe,4687.668,4682.108,55.6,240.1,42.7,4.32,0.77,1,0,24,1,0,24,1,0,24,1,9,24,1,29,153,1,29,153,1,54,153,1,70,153,0,,,SL,-55.60,155
2026.05.13 12:26,2026.05.13 12:30,BUY,LienKe,4686.303,4681.677,46.3,9.7,28.8,0.21,0.62,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,SL,-46.26,4
2026.05.13 12:23,2026.05.13 12:30,BUY,LienKe,4688.397,4681.677,67.2,19.5,49.8,0.29,0.74,1,0,1,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,SL,-67.20,7
2026.05.13 16:11,2026.05.13 16:24,SELL,LienKe,4701.580,4706.021,44.4,27.7,24.8,0.62,0.56,1,0,2,1,2,2,0,,,0,,,0,,,0,,,0,,,0,,,0,,,SL,-44.41,13
2026.05.14 04:28,2026.05.14 04:32,SELL,LienKe,4703.719,4710.498,67.8,27.6,20.3,0.41,0.30,1,0,1,1,0,1,0,,,0,,,0,,,0,,,0,,,0,,,0,,,SL,-67.79,4
2026.05.14 04:32,2026.05.14 04:33,SELL,LienKe,4705.578,4710.498,49.2,0.0,54.3,0.00,1.10,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,SL,-49.20,0
2026.05.14 04:34,2026.05.14 07:35,SELL,Swing,4709.438,4713.732,42.9,232.3,36.5,5.41,0.85,1,3,179,1,3,179,1,6,179,1,9,179,1,28,179,1,41,179,1,52,179,1,85,179,0,,,SL,-42.94,181
2026.05.14 04:34,2026.05.14 07:35,SELL,Swing,4708.079,4713.732,56.5,218.8,50.1,3.87,0.89,1,3,4,1,8,178,1,8,178,1,23,178,1,29,178,1,44,178,1,85,178,1,88,178,0,,,SL,-56.53,181
2026.05.14 19:20,2026.05.14 19:29,BUY,LienKe,4667.742,4663.008,47.3,15.2,8.3,0.32,0.18,1,0,1,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,SL,-47.34,9
2026.05.14 19:29,2026.05.14 19:30,BUY,LienKe,4666.635,4663.008,36.3,0.0,37.4,0.00,1.03,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,SL,-36.27,0
2026.05.19 01:01,2026.05.19 01:22,BUY,LienKe,4559.896,4554.425,54.7,92.4,50.2,1.69,0.92,1,0,18,1,0,18,1,0,18,1,0,18,1,6,18,0,,,0,,,0,,,0,,,SL,-54.71,21
2026.05.19 01:01,2026.05.19 01:22,BUY,LienKe,4562.575,4554.425,81.5,65.6,77.0,0.81,0.95,1,0,2,1,0,2,1,1,2,1,6,8,0,,,0,,,0,,,0,,,0,,,SL,-81.50,21
2026.05.20 08:29,2026.05.20 08:30,SELL,LienKe,4485.305,4489.587,42.8,0.0,10.8,0.00,0.25,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,SL,-42.82,1
2026.05.20 08:25,2026.05.20 08:30,SELL,LienKe,4484.031,4489.587,55.6,13.6,23.6,0.25,0.42,1,3,4,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,SL,-55.56,5
2026.05.21 17:01,2026.05.21 17:10,SELL,LienKe,4519.373,4525.254,58.8,51.0,16.4,0.87,0.28,1,2,-,1,2,-,1,3,-,1,5,-,0,,,0,,,0,,,0,,,0,,,SL,-58.81,9
2026.05.21 17:10,2026.05.21 17:10,SELL,LienKe,4520.805,4525.254,44.5,0.0,82.8,0.00,1.86,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,SL,-44.49,0
2026.05.22 09:55,2026.05.22 14:01,SELL,LienKe,4535.077,4539.083,40.1,287.1,20.5,7.17,0.51,1,1,13,1,2,13,1,5,13,1,6,13,1,32,144,1,34,144,1,37,144,1,41,144,0,,,TP,300.00,245
2026.05.22 09:55,2026.05.22 14:13,SELL,LienKe,4533.034,4539.083,60.5,299.4,41.0,4.95,0.68,1,5,11,1,5,11,1,7,11,1,31,144,1,34,144,1,36,144,1,41,144,1,47,144,0,,,TP,300.00,258
2026.05.25 05:26,2026.05.25 05:50,BUY,LienKe,4556.477,4552.190,42.9,43.2,37.9,1.01,0.89,1,7,17,1,8,17,1,10,17,0,,,0,,,0,,,0,,,0,,,0,,,SL,-42.87,24
2026.05.25 05:26,2026.05.25 05:50,BUY,LienKe,4557.121,4552.190,49.3,36.8,44.4,0.75,0.90,1,8,15,1,8,15,1,10,15,0,,,0,,,0,,,0,,,0,,,0,,,SL,-49.31,24
2026.05.25 09:48,2026.05.25 09:58,SELL,LienKe,4565.803,4569.181,33.8,0.0,30.6,0.00,0.91,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,SL,-33.78,10
2026.05.25 09:48,2026.05.25 09:58,SELL,LienKe,4565.309,4569.181,38.7,0.3,35.5,0.01,0.92,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,SL,-38.72,10
2026.05.25 17:14,2026.05.26 00:18,SELL,Swing,4575.075,4581.131,60.6,266.6,55.4,4.40,0.91,1,0,302,1,7,302,1,9,302,1,19,302,1,26,302,1,31,302,1,381,-,1,406,-,0,,,TP,300.00,424
2026.05.27 20:20,2026.05.27 22:00,SELL,LienKe,4458.428,4461.892,34.6,67.2,4.1,1.94,0.12,1,1,-,1,3,-,1,7,-,1,17,-,0,,,0,,,0,,,0,,,0,,,SL,-34.64,99
2026.05.27 20:20,2026.05.27 22:00,SELL,LienKe,4457.956,4461.892,39.4,62.5,8.9,1.59,0.23,1,2,-,1,6,-,1,8,-,1,18,-,0,,,0,,,0,,,0,,,0,,,SL,-39.36,100
2026.05.29 01:16,2026.05.29 01:18,SELL,Swing,4516.296,4520.598,43.0,9.8,14.2,0.23,0.33,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,SL,-43.02,2
2026.05.29 01:16,2026.05.29 01:18,SELL,Swing,4514.984,4520.598,56.1,0.0,27.3,0.00,0.49,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,SL,-56.14,2
2026.06.01 06:20,2026.06.01 06:22,BUY,LienKe,4509.410,4505.237,41.7,15.0,14.4,0.36,0.35,1,0,-,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,SL,-41.73,2
2026.06.01 04:50,2026.06.01 06:22,BUY,LienKe,4510.804,4505.237,55.7,144.0,28.4,2.59,0.51,1,0,1,1,3,87,1,4,87,1,13,87,1,22,87,1,28,87,0,,,0,,,0,,,SL,-55.67,92
2026.06.01 08:23,2026.06.01 13:11,BUY,LienKe,4492.459,4488.585,38.7,204.9,33.3,5.29,0.86,1,1,69,1,2,69,1,6,69,1,19,69,1,22,69,1,25,69,1,139,-,1,180,-,0,,,SL,-38.74,288
2026.06.01 08:17,2026.06.01 13:11,BUY,LienKe,4494.132,4488.585,55.5,188.2,50.1,3.39,0.90,1,0,1,1,4,6,1,25,74,1,26,74,1,32,74,1,60,74,1,150,293,0,,,0,,,SL,-55.47,294
2026.06.03 08:05,2026.06.03 08:51,BUY,LienKe,4453.291,4447.862,54.3,56.8,27.4,1.05,0.50,1,0,12,1,0,12,1,1,12,1,25,-,0,,,0,,,0,,,0,,,0,,,SL,-54.29,46
2026.06.03 08:02,2026.06.03 08:51,BUY,LienKe,4454.075,4447.862,62.1,50.1,35.2,0.81,0.57,1,0,3,1,1,3,1,2,3,1,2,3,0,,,0,,,0,,,0,,,0,,,SL,-62.13,49
2026.06.03 23:05,2026.06.03 23:45,SELL,LienKe,4450.254,4456.022,57.7,44.6,40.1,0.77,0.69,1,1,17,1,2,17,1,2,17,0,,,0,,,0,,,0,,,0,,,0,,,SL,-57.68,40
2026.06.03 22:58,2026.06.03 23:45,SELL,LienKe,4447.161,4456.022,88.6,15.5,71.0,0.17,0.80,1,5,5,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,SL,-88.61,47
2026.06.04 01:11,2026.06.04 01:20,SELL,LienKe,4463.571,4468.354,47.8,35.4,40.7,0.74,0.85,1,4,7,1,4,7,1,4,7,0,,,0,,,0,,,0,,,0,,,0,,,SL,-47.83,9
2026.06.04 00:03,2026.06.04 01:20,SELL,LienKe,4461.659,4468.354,67.0,184.6,59.8,2.76,0.89,1,0,2,1,0,2,1,0,2,1,4,67,1,11,67,1,12,67,1,35,67,0,,,0,,,SL,-66.95,77
2026.06.04 22:51,2026.06.04 22:58,BUY,LienKe,4472.957,4469.220,37.4,0.0,34.3,0.00,0.92,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,SL,-37.37,7
2026.06.04 22:50,2026.06.04 22:58,BUY,LienKe,4473.772,4469.220,45.5,4.7,42.4,0.10,0.93,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,SL,-45.52,8
2026.06.07 22:05,2026.06.07 23:55,BUY,LienKe,4316.139,4307.686,84.5,277.4,59.5,3.28,0.70,1,4,5,1,4,5,1,7,25,1,7,25,1,8,25,1,8,25,1,67,-,1,87,-,0,,,TP,300.00,110
