HTF_State;Maj_State;Min_State;Entry_Type;Risk_Multiplier;BE_Trigger_R;Partial_R;Partial_Pct;TP_Strategy;TP_Param;Trail_Strategy;Location_Filter;Dash_Note
Impulse Up - BoS Up;Impulse Down - BoS Down;Impulse Down - BoS Down;2;1.0;0;0;0;FIXED_R;2.0;NONE;HTF_ZONE;22-Sell Limit tai mep Sell Zone M1 Major, Cat lo o dinh Major.TP: FIXED_R2.0
Impulse Up - BoS Up;Impulse Down - BoS Down;Impulse Down - BoS Up;2;1.0;0;0;0;FIXED_R;2.0;NONE;HTF_ZONE;23-Sell Limit tai mep Sell Zone M1 Major, Cat lo o dinh Major.TP: FIXED_R2.0
Impulse Up - BoS Up;Impulse Down - BoS Down;Impulse Up - ChoCh Up;2;1.0;0;0;0;FIXED_R;2.0;NONE;HTF_ZONE;24-Sell Limit tai mep Sell Zone M1 Major, Cat lo o dinh Major.TP: FIXED_R2.0
Impulse Up - BoS Up;Impulse Down - BoS Up;Impulse Up - BoS Up;1;1.0;0;0;0;FIXED_R;2.0;NONE;HTF_ZONE;25-Buy Limit tai mep Buy Zone M1 Major, Cat lo o day Major.TP: FIXED_R2.0
Impulse Up - BoS Up;Impulse Down - BoS Up;Impulse Up - BoS Down;1;1.0;0;0;0;FIXED_R;2.0;NONE;HTF_ZONE;26-Buy Limit tai mep Buy Zone M1 Major, Cat lo o day Major.TP: FIXED_R2.0
Impulse Up - BoS Up;Impulse Down - BoS Up;Impulse Down - ChoCh Down;1;1.0;0;0;0;FIXED_R;2.0;NONE;HTF_ZONE;27-Buy Limit tai mep Buy Zone M1 Major, Cat lo o day Major.TP: FIXED_R2.0
Impulse Up - BoS Up;Impulse Down - BoS Up;Impulse Down - BoS Down;1;1.0;0;0;0;FIXED_R;2.0;NONE;HTF_ZONE;28-Buy Limit tai mep Buy Zone M1 Major, Cat lo o day Major.TP: FIXED_R2.0
Impulse Up - BoS Up;Impulse Down - BoS Up;Impulse Down - BoS Up;1;1.0;0;0;0;FIXED_R;2.0;NONE;HTF_ZONE;29-Buy Limit tai mep Buy Zone M1 Major, Cat lo o day Major.TP: FIXED_R2.0
Impulse Up - BoS Up;Impulse Down - BoS Up;Impulse Up - ChoCh Up;1;1.0;0;0;0;FIXED_R;2.0;NONE;HTF_ZONE;30-Buy Limit tai mep Buy Zone M1 Major, Cat lo o day Major.TP: FIXED_R2.0
Impulse Up - BoS Up;Impulse Up - ChoCh Up;Impulse Up - BoS Up;1;1.0;0;0;0;FIXED_R;2.0;NONE;HTF_ZONE;31-Buy Limit tai mep Buy Zone M1 Major, Cat lo o day Major.TP: FIXED_R2.0
Impulse Up - BoS Up;Impulse Up - ChoCh Up;Impulse Up - BoS Down;1;1.0;0;0;0;FIXED_R;2.0;NONE;HTF_ZONE;32-Buy Limit tai mep Buy Zone M1 Major, Cat lo o day Major.TP: FIXED_R2.0
Impulse Up - BoS Up;Impulse Up - ChoCh Up;Impulse Down - ChoCh Down;1;1.0;0;0;0;FIXED_R;2.0;NONE;HTF_ZONE;33-Buy Limit tai mep Buy Zone M1 Major, Cat lo o day Major.TP: FIXED_R2.0
